Name,Score,Deviation
 - - - - - - Diamond - - - - - - 
Quaff,2127,99
Krizski,1868,67
Odds,1749,105
Garbage,1721,82
Poppinfresh,1718,63
Swan,1716,58
Minijoel,1626,59
Qwuv,1617,57
Riceboy,1580,147
Dimentio,1544,105
 - - - - - - Gold - - - - - - 
Mftea,1524,165
Wamsa,1500,66
Birmi,1488,55
Isis,1464,77
Brunch,1449,90
Rat!,1447,69
Vision,1425,72
Liban$,1415,81
Milesss,1398,116
Mach5,1397,239
Tsteak,1347,79
Aozorax,1263,163
Magpie,1253,141
Me$|ataro,1243,213
Nitro,1242,187
 - - - - - - Silver 1 - - - - - - 
Thegroose,1232,119
Venison,1225,122
Duckrobin,1200,64
Bigbird,1199,122
Zipper,1191,223
Bapple,1174,82
Rash,1171,202
Seemorebutts,1136,173
Kova,1133,147
Dunk,1131,190
 - - - - - - Silver 2 - - - - - - 
Nate,1125,134
Tino,1122,217
Thunderbob,1105,188
Stewie2k,1098,199
Princessknight,1090,257
Unrealodin,1082,199
J0ey,1074,154
Mosizzle,1061,183
Seen,1054,108
Finsnreads,1049,179
Gocutiego,1019,247
Unity,1009,103
Linda,1004,230
Rain,1003,144
Ashley,1001,158
 - - - - - - Bronze 1 - - - - - - 
Aids,997,95
Dishwash,979,169
Rtsvicta,979,253
Wpi|folie,969,149
Slinky,964,164
Tomthebomb,961,212
Dokmomo,960,136
Ed,934,166
Me$|platplat,922,156
Me$|smflow,892,169
 - - - - - - Bronze 2 - - - - - - 
Thetripod,884,221
Sykke,858,265
Blackgun,857,308
Nickzack,855,130
Greenapple,854,195
Soupostrich,843,233
Jip,838,209
Helvetios,838,228
Jams,826,218
Tomato,811,246
Chewwie,805,351
Busso,786,190
Josh,779,231
Meleekunis,777,316
Runawayfire,770,284
 - - - - - - Starter - - - - - - 
Babe,763,336
Cal,762,159
Derpinator,754,131
Boss,749,189
?,746,170
Spice,744,219
Auntjemina,739,213
Jts,734,199
Moobesor,732,235
Skittles,732,196
Twdock,730,221
Tv,720,226
Xavier,713,202
Tubbs,701,225
Swell,694,262
Jam,669,254
Rocky,659,144
Edmonster,653,242
Infest,632,206
Tmah,628,288
Midnighthillbomber,625,242
Yale,620,129
Spicymeme,610,320
Darkmatter,607,272
Divus,604,287
Earl,536,214
Yzus,528,363
Ozio,510,247
Daemomlock,508,329
Dante,497,251
Deisman,493,236
Bighp,440,358
Kalco,436,325
Dkang,431,429
Ratemyname,4,382
