Name,Score,Deviation
 - - - - - - Diamond - - - - - - 
Quaff,2096,103
Krizski,1813,73
Garbage,1720,85
Swan,1719,58
Poppinfresh,1698,72
Odds,1697,112
Qwuv,1630,55
Minijoel,1594,62
Dimentio,1576,89
Mftea,1565,144
 - - - - - - Gold - - - - - - 
Leaf,1538,126
Wamsa,1508,66
Birmi,1480,57
Riceboy,1476,195
Brunch,1459,84
Mach5,1447,214
Milesss,1429,100
Vision,1419,74
Isis,1416,89
T-steak,1408,83
Liban$,1402,86
Rat!,1385,76
Aozorax,1286,152
Nitro,1273,171
Zipper,1241,198
 - - - - - - Silver 1 - - - - - - 
Bigbird,1232,132
Rash,1221,176
Duckrobin,1216,63
Bapple,1202,83
Venison,1200,135
Thegroose,1156,143
Seemorebutts,1150,166
Princessknight,1140,232
Dunk,1139,186
Thunderbob,1135,173
 - - - - - - Silver 2 - - - - - - 
Tino,1130,213
Stewie2k,1128,184
Kova,1098,178
Finsnreads,1089,159
Falco,1088,290
Gocutiego,1069,222
Magpie,1056,222
Linda,1053,205
Dokmomo,1044,141
Unity,1043,108
Rtsvicta,1029,228
Rain,1026,133
Ashley,1024,147
Slinky,994,149
Seen,989,120
 - - - - - - Bronze 1 - - - - - - 
Tomthebomb,983,201
Wpi|folie,977,145
Nate,956,197
Me$|platplat,931,152
J0ey,918,197
Sykke,907,240
Blackgun,907,283
Greenapple,904,170
Me$|smflow,900,164
Soupostrich,893,208
 - - - - - - Bronze 2 - - - - - - 
Superanimevapegod,882,307
Nickzack,879,157
Jip,868,194
Chewwie,855,326
Ed,848,207
Jams,848,207
Emgat,833,329
Tomato,832,235
Aids,829,107
Meleekunis,826,291
Busso,817,175
Babe,812,312
Boss,810,229
Runawayfire,800,269
Moesizzle,784,230
 - - - - - - Starter - - - - - - 
Cal,781,175
Twdock,779,196
Dishwash,773,213
Jts,764,184
Derpinator,763,127
Skittles,762,181
Spice,758,212
Moobesor,754,225
Auntjemina,753,206
?,749,177
Swell,744,237
Xavier,743,187
Tv,727,222
Kia,725,385
Mr.satan,710,232
Jam,683,247
Tmah,677,263
Rocky,675,155
Midnighthillbomber,675,218
Edmonster,660,239
Spicymeme,659,296
Darkmatter,657,247
Divus,654,262
Infest,646,199
Yale,630,124
Roen,588,306
Yzus,577,338
Daemomlock,558,304
Dante,546,226
Deisman,543,212
Ozio,540,233
Earl,531,249
Bighp,489,333
Kalco,485,300
Jlips,485,375
Dkang,480,405
Ratemyname,53,358
