Name,Score,Deviation
 - - - - - - Diamond - - - - - - 
Quaff,2094,104
Krizski,1851,70
Odds,1751,104
Swan,1719,56
Garbage,1712,89
Poppinfresh,1711,67
Qwuv,1620,55
Minijoel,1613,60
Dimentio,1560,97
Mftea,1549,152
 - - - - - - Gold - - - - - - 
Leaf,1513,139
Wamsa,1503,65
Birmi,1497,55
Riceboy,1475,196
Isis,1461,82
Brunch,1457,85
Vision,1428,70
Rat!,1423,70
Mach5,1422,226
Milesss,1414,108
Liban$,1393,82
T-steak,1388,80
Aozorax,1279,156
Nitro,1258,179
Magpie,1254,140
 - - - - - - Silver 1 - - - - - - 
Thegroose,1233,119
Zipper,1216,211
Duckrobin,1213,64
Bigbird,1200,121
Rash,1196,189
Venison,1193,139
Bapple,1176,80
Seemorebutts,1143,170
Dunk,1138,187
Kova,1134,146
 - - - - - - Silver 2 - - - - - - 
Tino,1129,213
Thunderbob,1120,180
Princessknight,1115,244
Stewie2k,1113,192
Nate,1101,151
J0ey,1076,154
Finsnreads,1074,166
Falco,1064,302
Mosizzle,1062,182
Seen,1056,107
Gocutiego,1044,235
Linda,1029,217
Dokmomo,1028,148
Rain,1019,137
Ashley,1016,151
 - - - - - - Bronze 1 - - - - - - 
Unity,1010,102
Rtsvicta,1004,240
Dishwash,980,168
Slinky,979,156
Wpi|folie,976,146
Tomthebomb,976,205
Ed,935,165
Me$|platplat,929,153
Aids,914,100
Me$|smflow,899,165
 - - - - - - Bronze 2 - - - - - - 
Sykke,882,252
Blackgun,882,296
Greenapple,879,183
Soupostrich,868,221
Nickzack,867,139
Superanimevapegod,857,319
Jip,853,202
Jams,841,210
Helvetios,839,228
Chewwie,830,338
Tomato,826,238
Emgat,809,341
Meleekunis,802,304
Busso,801,183
Babe,788,324
 - - - - - - Starter - - - - - - 
Runawayfire,785,276
Josh,780,230
Moesizzle,778,234
Cal,763,158
Derpinator,762,127
Boss,756,186
Twdock,754,208
Spice,751,216
Jts,749,191
?,747,169
Moobesor,747,228
Skittles,747,189
Auntjemina,746,209
Xavier,728,195
Tv,726,223
Swell,719,249
Tubbs,702,225
Kia,701,397
Mr.satan,686,244
Jam,676,251
Rocky,660,143
Edmonster,660,239
Tmah,653,275
Midnighthillbomber,650,230
Infest,639,203
Spicymeme,634,308
Darkmatter,632,259
Divus,629,275
Yale,628,125
Roen,563,318
Yzus,552,350
Earl,537,235
Daemomlock,533,317
Ozio,525,240
Dante,521,238
Deisman,518,224
Bighp,465,346
Jlips,460,388
Kalco,460,313
Dkang,455,417
Ratemyname,29,370
