Name,Score,Deviation
 - - - - - - Diamond - - - - - - 
Quaff,2171,100
Krizski,1832,67
Garbage,1807,65
Soonsay,1743,60
Mono,1725,73
Poppinfresh,1708,56
Swan,1663,61
Riceboy,1662,146
Qwuv,1632,65
Mftea,1621,112
 - - - - - - Gold - - - - - - 
Minijoel,1604,60
Odds,1598,123
Dimentio,1595,91
Wamsa,1555,71
Rat!,1498,62
Birmi,1480,55
Brunch,1472,87
Isis,1457,64
Tsteak,1439,68
Liban$,1415,89
Vision,1397,86
Bigbird,1328,102
Venison,1322,87
Rash,1264,135
Duckrobin,1263,65
 - - - - - - Silver 1 - - - - - - 
Thegroose,1243,116
Bapple,1234,83
Nate,1216,123
Me$|ataro,1174,248
Magpie,1157,189
Unrealodin,1155,160
Dishwash,1128,142
Aozorax,1123,234
Superanimevapegod,1111,153
Jam,1100,175
 - - - - - - Silver 2 - - - - - - 
2665,1095,205
Cross,1094,188
Nitro,1093,261
Seen,1091,108
Unity,1072,104
Same,1057,136
Chewwie,1056,131
Aids,1048,79
Kova,1038,195
Killiants,1035,111
Rip$5,1035,222
Fullmetalbiochemist,1026,148
Silver,1025,223
Dunk,1019,246
Tino,1011,272
 - - - - - - Bronze 1 - - - - - - 
Seemorebutts,1006,238
Mosizzle,1002,125
J0ey,980,202
Finsnreads,967,164
Danny,962,215
Yunggravy,961,223
Thunderbob,956,262
Stewie2k,949,274
Will,908,178
Nickzack,907,101
 - - - - - - Bronze 2 - - - - - - 
Auntjemina,890,161
Boss,872,145
Dokmomo,865,184
Me$|jafrie,864,261
Tomthebomb,863,185
Rain,863,215
Ashley,861,228
Wpi|folie,856,206
Greenapple,850,215
Ed,840,213
Jacob,835,227
Quote,831,220
Twdock,830,236
Hairy_killa,830,232
Cherrycola,827,248
 - - - - - - Starter - - - - - - 
Arvin,825,230
Thetripod,815,255
Slinky,811,151
Me$|platplat,809,213
Seanmendez,808,211
Arcanum,806,241
Johndura,792,353
"letsgofolie",788,268
Noah,788,270
Taco,785,217
Tomato,784,203
Me$|smflow,780,225
Calcium,766,249
Fryman,757,213
Ampersand,753,228
Hiero,753,207
Kandinsky,746,219
Helvetios,745,275
Whatgood,728,245
Jip,689,284
Jams,687,287
Josh,687,277
Rocky,678,140
Cal,667,206
Yungdaye,667,247
Firehydrant,652,233
?,652,217
Derpinator,641,188
Busso,637,265
Spencomatic,636,245
Hillbomber,635,184
Runawayfire,623,357
Spice,615,284
Father3,613,241
Tv,609,281
Tubbs,608,271
Jlips,605,233
Moobesor,594,305
Jts,585,273
Yale,584,119
Skittles,582,271
Once,566,234
Xavier,564,277
Swell,546,336
Edmonster,542,298
Infest,503,271
Tmah,480,362
Earl,468,238
Spicymeme,462,394
Ozio,362,322
Kalco,289,399
Ratemyname,-142,456
