Name,Score,Deviation
 - - - - - - Diamond - - - - - - 
Quaff,2149,96
Krizski,1863,66
Garbage,1758,76
Odds,1749,105
Swan,1716,58
Poppinfresh,1705,63
Minijoel,1626,59
Qwuv,1617,57
Riceboy,1580,147
Dimentio,1544,105
 - - - - - - Gold - - - - - - 
Mftea,1524,165
Wamsa,1500,66
Birmi,1488,55
Milesss,1468,102
Isis,1464,77
Brunch,1449,90
Rat!,1447,69
Vision,1425,72
Liban$,1424,79
Mach5,1397,239
Tsteak,1347,79
Aozorax,1263,163
Magpie,1253,141
Me$|ataro,1243,213
Nitro,1242,187
 - - - - - - Silver 1 - - - - - - 
Thegroose,1232,119
Nate,1226,120
Duckrobin,1212,64
Bigbird,1199,122
Zipper,1191,223
Venison,1182,110
Bapple,1174,82
Rash,1171,202
Seemorebutts,1136,173
Kova,1133,147
 - - - - - - Silver 2 - - - - - - 
Dunk,1131,190
Tino,1122,217
Thunderbob,1105,188
Stewie2k,1098,199
Princessknight,1090,257
Unrealodin,1082,199
J0ey,1074,154
Mosizzle,1061,183
Seen,1054,108
Finsnreads,1049,179
Gocutiego,1019,247
Unity,1009,103
Linda,1004,230
Rain,1003,144
Ashley,1001,158
 - - - - - - Bronze 1 - - - - - - 
Aids,988,94
Dishwash,979,169
Rtsvicta,979,253
Wpi|folie,969,149
Slinky,964,164
Tomthebomb,961,212
Dokmomo,960,136
Ed,934,166
Me$|jafrie,933,227
Me$|platplat,922,156
 - - - - - - Bronze 2 - - - - - - 
Me$|smflow,892,169
Thetripod,884,221
Sykke,858,265
Blackgun,857,308
Noah,857,235
Greenapple,854,195
Nickzack,848,125
Soupostrich,843,233
Jip,838,209
Helvetios,838,228
Jams,826,218
Tomato,811,246
Busso,786,190
Josh,779,231
Meleekunis,777,316
 - - - - - - Starter - - - - - - 
Runawayfire,770,284
Babe,763,336
Cal,762,159
Derpinator,754,131
Boss,749,189
?,746,170
Spice,744,219
Auntjemina,739,213
Jts,734,199
Moobesor,732,235
Skittles,732,196
Twdock,730,221
Tv,720,226
Xavier,713,202
Tubbs,701,225
Swell,694,262
Jam,669,254
Rocky,659,144
Edmonster,653,242
Infest,632,206
Tmah,628,288
Midnighthillbomber,625,242
Yale,614,126
Spicymeme,610,320
Darkmatter,607,272
Divus,604,287
Earl,538,203
Yzus,528,363
Ozio,510,247
Daemomlock,508,329
Dante,497,251
Deisman,493,236
Bighp,440,358
Kalco,436,325
Ratemyname,4,382
