name, rating, rd, vol, inactivity
quaff 2359.024508409585 102.67438080765618 0.08143058906558553 1
krizski 1997.4560193119473 68.82224250369393 0.08076486809821953 1
riceboy 1956.4003241823002 139.13754790877613 0.08025313123687698 4
garbage 1938.9683985397182 65.22545572921337 0.07962156354779909 0
mono 1872.9157236489893 72.33620038651038 0.08023233866199891 0
odds 1845.2694640699583 115.71372447230472 0.08013948933480536 3
mftea 1833.2942470537644 133.63704830046183 0.08024941894804251 3
milesss 1825.6764489751213 62.52506660964419 0.07966424110088505 0
poppinfresh 1821.731939699376 55.09940499952178 0.07969849533497962 0
swan 1785.846641727313 59.53239473179899 0.07995040033659817 0
dimentio 1778.5654112410919 87.6567462140862 0.0796815852555921 2
qwuv 1762.9002103824405 63.63096963024584 0.0795266129584281 0
minijoel 1746.7271052751496 60.59294672468333 0.0796034797475678 0
wamsa 1697.218679693967 66.67573787136017 0.07920915416380735 1
me$|ataro 1670.769667745544 235.59935588365786 0.08000083374174367 5
brunch 1647.9794575770522 83.41558618304008 0.07994406396906359 2
nitro 1616.9489250343047 249.29527488824914 0.07995420354386831 10
rat! 1611.844169173457 62.96907820433773 0.07909781432653767 1
isis 1596.3006919463505 66.3926890870861 0.07916421320648659 0
liban$ 1594.6804492835151 81.67869081881999 0.07936690918180055 3
aozorax 1591.7952049507828 221.5717332841173 0.08006364568426153 9
birmi 1580.2535763159167 55.03976548445603 0.07883018188513267 0
tsteak 1577.282224692761 67.42695932739336 0.07975231692052671 0
vision 1570.043981254179 78.18464321190933 0.07915069636865041 3
tino 1557.7051573597491 260.5244047852859 0.07992851754031959 7
magpie 1536.6268015522003 176.8317363470123 0.07981614405759505 6
rash 1534.9869436456854 134.61825141519674 0.07983287533111486 0
bigbird 1533.3855386143161 98.4154475965942 0.07988464998287133 2
dunk 1512.7993489579549 234.21898483726793 0.07992182539625185 7
2665 1507.1628955477752 198.15609598522474 0.07992581242620753 3
johndura 1500.0 350.27580332337516 0.08 1
venison 1498.6503706827084 86.73723265438315 0.07966601301750184 0
stewie2k 1497.10566619941 261.6714317829387 0.07989190219884208 10
seemorebutts 1484.0557907386255 226.25908538304643 0.07989355202666006 8
thunderbob 1482.0825169069954 250.46974536393236 0.07987607428220993 10
thegroose 1477.079384560869 116.0253466876678 0.07973139017492566 0
unrealodin 1476.235606993388 156.829468445779 0.07986379195336968 2
silver 1472.63836405722 215.8792764006598 0.07993794907273116 4
cross 1471.683407198047 185.10592687578114 0.07992128431706443 1
nate 1464.2936436445848 122.88123799734839 0.07988339034437872 0
jam 1451.6049070174347 175.11801864666717 0.07997682218637947 0
kova 1428.3921604775735 182.50617685821064 0.07981648595328007 6
superanimevapegod 1418.5983474217387 152.70027822284112 0.07991340246643752 0
dishwash 1413.05104777886 141.70950796125157 0.07994284910917064 0
yunggravy 1409.3672129334075 216.26525540404705 0.0799597421011381 3
duckrobin 1397.3156858108846 67.08154066188565 0.07941217889078939 0
danny 1393.135367258647 207.93015368398483 0.07995964234411221 4
me$|jafrie 1387.7199541713128 249.22564843116206 0.07997494523535531 5
j0ey 1384.474533894289 189.68383219856068 0.07999417871614269 6
bapple 1365.3364623352556 87.57567019756488 0.07998076984381013 0
runawayfire 1338.7611791135012 345.5698855797564 0.07997945648452567 10
noah 1329.047346327755 257.9459250680724 0.07999845608672154 5
same 1327.9068880379712 153.67158756282745 0.07992880688406168 0
thetripod 1327.4066127539356 243.41704740906687 0.08000047200593542 5
"letsgofolie" 1326.1027297222863 261.35569684727653 0.07999964179298959 3
cherrycola 1324.1681574005984 247.83606422967182 0.08000019947162057 0
fullmetalbiochemist 1323.404204663434 147.98906682752883 0.07991263079226009 0
chewwie 1319.1969769294928 127.55131268806342 0.0799191622111159 1
ashley 1319.0886712616348 216.44581190912928 0.07988802831752881 9
seen 1307.6045923127144 100.05240315491979 0.07989071540113582 3
twdock 1303.160522685709 232.77944885864162 0.08001115906079419 1
helvetios 1295.939240995548 262.8245785009163 0.08001640112320245 6
hairy_killa 1295.7182408403194 229.129793768117 0.08001640067221806 1
finsnreads 1295.6360503041562 163.55718891735043 0.07988993236974862 0
rain 1293.301238108521 202.6625364740784 0.07994961992516528 9
arcanum 1289.878291764529 234.15784720576394 0.08002063070772257 3
arvin 1286.8620994075668 227.4224852967855 0.08002243212151144 1
unity 1281.772202210616 103.8715973341389 0.08006118595404382 0
greenapple 1281.6009703419395 215.25470564680583 0.08003366229668328 0
quote 1272.3572559615159 212.9034244659706 0.08005184487729793 3
wpi|folie 1268.5404738126736 193.66622642830865 0.07996515685517741 7
ed 1267.4651503488935 201.1311454478932 0.08003570411061882 6
calcium 1265.3763612560929 242.13508560328307 0.08003605293254899 4
will 1265.0182985264962 177.6244038326184 0.07997702788754187 0
jams 1262.6590593234203 275.21941036189423 0.08006491462218025 9
killiants 1259.5858719185733 110.9945291760467 0.0799516001862938 0
jip 1258.038619328462 271.6871167220433 0.08008751381021012 10
mosizzle 1253.2597585653966 124.84769390844389 0.07995507388120505 0
spicymeme 1252.0907519721843 382.37424421666014 0.08000627908556514 12
josh 1242.5167245804296 265.3063180209932 0.08004893703084758 6
me$|platplat 1236.290522063629 200.700135990968 0.07994041369004806 7
tomthebomb 1234.8035116715137 182.11309655663334 0.07998643442331849 2
dokmomo 1233.253654318617 171.53643874203857 0.07981383082475124 6
seanmendez 1232.1093375691855 211.3140597050219 0.08008361120842722 0
me$|smflow 1230.7893891516105 212.7547219388573 0.0799039186962291 7
taco 1220.4513252963704 216.98203146015405 0.08008528709450244 0
