name, rating, rd, vol, inactivity
quaff 2303.39119972999 103.3170849464771 0.08144528752987998 0
krizski 1961.5118731319787 73.9362466429762 0.08083071773915539 0
odds 1922.8026757023829 112.82490391866392 0.08007360401247374 6
garbage 1892.102718241808 85.6430365735545 0.07971852271650642 1
mach5 1876.3832567783197 214.4113431690991 0.08190445831123783 10
riceboy 1867.911727254383 195.71421097403768 0.08028733289105264 0
mftea 1855.015843576333 144.85426416964626 0.0802745213750589 4
poppinfresh 1844.5673169505208 72.8597358047849 0.0798598525162665 0
swan 1837.4463005730438 58.83201745460386 0.08000275703830417 1
leaf 1792.560271121461 126.87805948563212 0.08003338975812786 8
dimentio 1756.30058563606 89.92053229511849 0.07974450461201318 3
qwuv 1741.913759102714 55.894201075929345 0.0795891131619274 0
minijoel 1720.6461508527402 62.96419628313853 0.0797957900004863 0
falco 1669.1253856949172 290.1320878637317 0.08002555312917731 13
wamsa 1642.1219152938852 66.98980755546127 0.07921767606507574 2
zipper 1639.3238154025935 198.8783993560471 0.07991238481900091 9
milesss 1631.8676981008646 100.93792565447261 0.07982796226163298 3
brunch 1629.5361061146377 84.80415517106096 0.08007260174627542 0
nitro 1616.9489250343047 171.9098011938884 0.07995420354386831 3
princessknight 1604.9133236543073 232.40496470004854 0.08005298998201524 12
birmi 1595.3521428826882 57.61230491607543 0.07915804619814991 0
isis 1594.9186843926664 89.38043823371133 0.07944694778089627 1
aozorax 1591.7952049507828 152.69218958806619 0.08006364568426153 2
liban$ 1575.9890507930659 86.57675001872653 0.07957121203632095 1
rash 1575.5984845546748 176.98230429944033 0.0798017572796421 10
t-steak 1575.302415476438 83.25699009366924 0.07974552229690503 1
vision 1568.568951542047 74.38202801997988 0.07935858939544657 1
tino 1557.7051573597491 213.52589534952136 0.07992851754031959 0
rat! 1538.526053619699 76.6921469553858 0.07937786661383067 0
gocutiego 1514.870075119944 222.8154400716567 0.0798496745152066 9
dunk 1512.7993489579549 186.8193946054153 0.07992182539625185 0
chewwie 1508.177129320051 326.52109653932035 0.07992293430294733 14
magpie 1502.2708060167465 222.7874805341056 0.07992023220589498 5
stewie2k 1497.10566619941 184.49235675865694 0.07989190219884208 3
bigbird 1496.8469584712325 132.13241994012182 0.07990582850327468 1
superanimevapegod 1496.5336615938822 307.0832615526835 0.07989774135745445 14
kia 1496.0097368545366 385.05859360973096 0.07990919531408795 20
emgat 1492.3914033250312 329.2265837423168 0.07992579246705668 14
rtsvicta 1486.1696725818313 228.4139334891764 0.0798840022950184 8
seemorebutts 1484.0557907386255 166.59580185957316 0.07989355202666006 1
thunderbob 1482.0825169069954 173.1111267971617 0.07987607428220993 3
blackgun 1474.8150707781838 283.85587667288905 0.07996565638163673 12
venison 1471.944660252102 135.59574396162037 0.07976582782360331 1
linda 1464.9364431997237 205.4686078049365 0.07983743125475752 8
kova 1454.6760989139848 178.22412155404857 0.0798672453540079 2
thegroose 1444.1742930790751 143.780074248349 0.07986444214604417 1
babe 1436.8655301765905 312.0520468836349 0.07994616493418365 11
meleekunis 1410.6679853281703 291.9911979920106 0.07994197329812161 11
finsnreads 1408.1955398443633 159.2789865502997 0.07990047117244754 4
sykke 1388.362976692788 240.3023789671558 0.07991287383919121 9
tomthebomb 1386.4034768571669 201.64247257803922 0.07996531718146956 2
bapple 1369.3373145023957 83.39415445349537 0.08003267089951778 0
nate 1351.5440646173477 197.27812220272162 0.0799883541870807 1
duckrobin 1343.3575862679338 63.440170300454575 0.0794496690103164 0
runawayfire 1338.7611791135012 269.29528726967993 0.07997945648452567 3
dokmomo 1326.5920401835613 141.21488928409175 0.07978350477894688 4
ashley 1319.0886712616348 147.4637586709283 0.07988802831752881 2
j0ey 1313.4983197790077 197.40488982022256 0.08002086468639891 1
soupostrich 1311.0762361878883 208.79541134923315 0.07989253855154628 9
tomato 1303.3511743572353 235.18706257395434 0.0800113306486599 2
