Name,Score,Deviation
 - - - - - - Diamond - - - - - - 
Quaff,2131,105
Krizski,1855,70
Garbage,1773,72
Poppinfresh,1717,58
Riceboy,1701,127
Milesss,1685,69
Swan,1680,59
Mono,1630,100
Odds,1629,107
Dimentio,1613,82
 - - - - - - Gold - - - - - - 
Minijoel,1612,64
Qwuv,1599,64
Mftea,1581,126
Wamsa,1547,67
Brunch,1492,77
Rat!,1482,63
Birmi,1468,55
Isis,1450,70
Liban$,1448,73
Vision,1430,69
Tsteak,1395,71
Bigbird,1346,93
Mach5,1323,276
Thegroose,1240,117
Me$|ataro,1229,220
 - - - - - - Silver 1 - - - - - - 
Magpie,1223,156
Nate,1209,128
Aozorax,1198,196
Venison,1196,110
Duckrobin,1192,74
Unrealodin,1171,152
Nitro,1168,224
Bapple,1141,98
Chewwie,1137,136
2665,1124,191
 - - - - - - Silver 2 - - - - - - 
Seen,1123,92
Kova,1103,162
Dunk,1094,209
Tino,1086,235
Seemorebutts,1081,201
Silver,1062,204
J0ey,1045,169
Mosizzle,1041,130
Thunderbob,1030,225
Stewie2k,1023,236
Danny,999,196
Yunggravy,990,209
Unity,977,118
Finsnreads,974,216
Fullmetalbiochemist,968,172
 - - - - - - Bronze 1 - - - - - - 
Killiants,964,139
Aids,962,91
Dishwash,950,184
Rain,938,177
Ashley,936,191
Wpi|folie,931,168
Dokmomo,930,151
Me$|jafrie,918,234
Nickzack,911,110
Ed,905,181
 - - - - - - Bronze 2 - - - - - - 
Slinky,888,202
Me$|platplat,885,175
Tomthebomb,878,178
Thetripod,870,228
Quote,860,205
Me$|smflow,855,187
Noah,842,243
Arcanum,835,227
Boss,831,159
"letsgofolie",816,254
Helvetios,809,243
Calcium,802,231
Whatgood,765,227
Jip,764,246
Jams,761,250
 - - - - - - Starter - - - - - - 
Josh,751,245
Tomato,747,278
Cal,733,174
?,717,185
Derpinator,716,150
Busso,711,228
Runawayfire,696,320
Spice,690,246
Auntjemina,685,240
Tv,683,244
Tubbs,673,239
Moobesor,668,268
Spencomatic,664,231
Jts,659,236
Skittles,657,233
Father3,642,227
Xavier,638,240
Rocky,629,159
Swell,620,299
Edmonster,616,261
Jam,615,281
Yale,596,121
Infest,577,234
Tmah,554,325
Spicymeme,536,357
Earl,523,210
Yzus,454,399
Ozio,436,285
Daemomlock,435,366
Dante,422,288
Kalco,362,362
Ratemyname,-68,419
