Name,Score,Deviation
 - - - - - - Diamond - - - - - - 
Quaff,2088,104
Krizski,1845,75
Garbage,1720,85
Swan,1719,58
Poppinfresh,1706,77
Odds,1697,112
Qwuv,1641,55
Dimentio,1576,89
Mftea,1565,144
Minijoel,1540,65
 - - - - - - Gold - - - - - - 
Leaf,1538,126
Wamsa,1508,66
Birmi,1475,57
Brunch,1459,84
Mach5,1447,214
Milesss,1429,100
Vision,1419,74
Isis,1416,89
T-steak,1408,83
Liban$,1402,86
Rat!,1368,80
Aozorax,1286,152
Nitro,1273,171
Zipper,1241,198
Bigbird,1232,132
 - - - - - - Silver 1 - - - - - - 
Rash,1221,176
Bapple,1221,85
Duckrobin,1219,64
Venison,1200,135
Thegroose,1156,143
Seemorebutts,1150,166
Princessknight,1140,232
Thunderbob,1135,173
Stewie2k,1128,184
Kova,1098,178
 - - - - - - Silver 2 - - - - - - 
Finsnreads,1089,159
Falco,1088,290
Gocutiego,1069,222
Magpie,1056,222
Linda,1053,205
Dokmomo,1044,141
Unity,1043,108
Rtsvicta,1029,228
Rain,1026,133
Ashley,1024,147
Wpi|folie,1004,157
Slinky,994,149
Seen,989,120
Tomthebomb,983,201
Nate,956,197
 - - - - - - Bronze 1 - - - - - - 
Me$|platplat,931,152
J0ey,918,197
Sykke,907,240
Blackgun,907,283
Greenapple,904,170
Soupostrich,893,208
Superanimevapegod,882,307
Jip,868,194
Chewwie,855,326
Ed,848,207
 - - - - - - Bronze 2 - - - - - - 
Jams,848,207
Aids,841,110
Emgat,833,329
Tomato,832,235
Meleekunis,826,291
Busso,817,175
Babe,812,312
Boss,810,229
Nickzack,801,177
Runawayfire,800,269
Moesizzle,784,230
Cal,781,175
Twdock,779,196
Dishwash,773,213
Jts,764,184
 - - - - - - Starter - - - - - - 
Derpinator,763,127
Me$|smflow,762,211
Skittles,762,181
Spice,758,212
Moobesor,754,225
Auntjemina,753,206
?,749,177
Swell,744,237
Xavier,743,187
Tv,727,222
Kia,725,385
Mr.satan,710,232
Jam,683,247
Tmah,677,263
Rocky,675,155
Midnighthillbomber,675,218
Spicymeme,659,296
Darkmatter,657,247
Divus,654,262
Infest,646,199
Yale,636,127
Roen,588,306
Tino,577,433
Yzus,577,338
Daemomlock,558,304
Dante,546,226
Deisman,543,212
Ozio,540,233
Earl,531,249
Bighp,489,333
Kalco,485,300
Jlips,485,375
Dkang,480,405
Ratemyname,53,358
