Name,Score,Deviation
 - - - - - - Diamond - - - - - - 
Quaff,2153,102
Krizski,1859,68
Garbage,1808,65
Mono,1728,72
Poppinfresh,1711,55
Milesss,1700,62
Riceboy,1678,139
Swan,1666,59
Qwuv,1635,63
Minijoel,1625,60
 - - - - - - Gold - - - - - - 
Odds,1613,115
Dimentio,1603,87
Mftea,1566,133
Wamsa,1563,66
Rat!,1485,62
Brunch,1481,83
Birmi,1470,55
Isis,1463,66
Tsteak,1442,67
Liban$,1431,81
Vision,1413,78
Bigbird,1336,98
Venison,1325,86
Rash,1265,134
Duckrobin,1263,67
 - - - - - - Silver 1 - - - - - - 
Thegroose,1245,116
Nate,1218,122
Me$|ataro,1199,235
Bapple,1190,87
Magpie,1182,176
Unrealodin,1162,156
Aozorax,1148,221
Dishwash,1129,141
Nitro,1118,249
Superanimevapegod,1113,152
 - - - - - - Silver 2 - - - - - - 
2665,1110,198
Seen,1107,100
Cross,1101,185
Jam,1101,175
Unity,1074,103
Chewwie,1064,127
Kova,1063,182
Dunk,1044,234
Silver,1040,215
Killiants,1037,110
Tino,1036,260
Seemorebutts,1031,226
Fullmetalbiochemist,1027,147
Same,1020,153
Aids,1019,81
 - - - - - - Bronze 1 - - - - - - 
J0ey,1005,189
Mosizzle,1003,124
Thunderbob,981,250
Danny,977,207
Yunggravy,976,216
Stewie2k,973,261
Finsnreads,968,163
Will,909,177
Nickzack,909,100
Auntjemina,897,158
 - - - - - - Bronze 2 - - - - - - 
Dokmomo,890,171
Me$|jafrie,889,249
Rain,887,202
Ashley,886,216
Wpi|folie,881,193
Boss,880,141
Tomthebomb,870,182
Ed,865,201
Greenapple,851,215
Quote,846,212
Thetripod,840,243
Slinky,839,167
Twdock,837,232
Hairy_killa,837,229
Me$|platplat,834,200
 - - - - - - Starter - - - - - - 
Arvin,832,227
Cherrycola,828,247
Arcanum,821,234
Noah,813,257
Seanmendez,809,211
Me$|smflow,805,212
"letsgofolie",803,261
Johndura,799,350
Taco,786,216
Tomato,785,203
Calcium,781,242
Helvetios,770,262
Hiero,760,203
Fryman,758,213
Ampersand,754,228
Kandinsky,747,218
Whatgood,743,238
Jip,714,271
Jams,712,275
Josh,711,265
Cal,692,194
Rocky,680,139
?,677,205
Yungdaye,668,247
Derpinator,666,176
Busso,662,252
Firehydrant,653,233
Spencomatic,650,237
Runawayfire,647,345
Spice,640,271
Hillbomber,636,183
Tv,634,269
Tubbs,633,259
Father3,628,234
Moobesor,618,292
Jts,610,261
Skittles,607,258
Jlips,606,232
Xavier,589,264
Yale,588,119
Swell,571,323
Edmonster,567,285
Infest,527,258
Tmah,505,349
Earl,493,225
Spicymeme,487,382
Ozio,387,309
Daemomlock,386,390
Kalco,313,386
Ratemyname,-117,443
