Name,Score,Deviation
 - - - - - - Diamond - - - - - - 
Quaff,2155,101
Krizski,1862,67
Garbage,1811,68
Poppinfresh,1718,58
Mono,1693,84
Riceboy,1693,131
Milesss,1689,65
Swan,1676,60
Odds,1621,111
Minijoel,1618,62
 - - - - - - Gold - - - - - - 
Dimentio,1611,83
Qwuv,1596,65
Mftea,1573,129
Wamsa,1566,65
Brunch,1489,79
Rat!,1481,64
Birmi,1465,57
Isis,1440,68
Liban$,1439,77
Vision,1422,73
Tsteak,1401,70
Bigbird,1344,94
Venison,1271,101
Thegroose,1232,120
Me$|ataro,1214,228
 - - - - - - Silver 1 - - - - - - 
Magpie,1208,164
Duckrobin,1207,72
Nate,1194,136
Rash,1189,178
Aozorax,1173,209
Unrealodin,1169,153
Nitro,1143,236
Chewwie,1136,137
Bapple,1125,106
2665,1117,194
 - - - - - - Silver 2 - - - - - - 
Seen,1115,96
Cross,1102,184
Kova,1088,169
Dunk,1069,221
Tino,1061,248
Seemorebutts,1056,213
Silver,1055,208
Killiants,1053,124
Mosizzle,1040,131
J0ey,1030,177
Unity,1006,112
Thunderbob,1005,238
Stewie2k,998,249
Danny,992,200
Same,990,196
 - - - - - - Bronze 1 - - - - - - 
Yunggravy,983,212
Fullmetalbiochemist,967,173
Aids,953,90
Finsnreads,949,229
Dishwash,935,191
Will,925,212
Dokmomo,915,158
Rain,912,190
Ashley,911,203
Wpi|folie,906,181
 - - - - - - Bronze 2 - - - - - - 
Me$|jafrie,904,241
Nickzack,899,106
Ed,890,188
Tomthebomb,877,178
Me$|platplat,859,188
Thetripod,855,236
Quote,853,209
Slinky,841,167
Twdock,838,232
Hairy_killa,838,228
Arvin,832,226
Me$|smflow,830,200
Arcanum,828,230
Noah,827,250
Hillbomber,824,225
 - - - - - - Starter - - - - - - 
Boss,824,162
"letsgofolie",810,257
Calcium,795,234
Helvetios,795,250
Whatgood,758,230
Hiero,748,239
Jip,739,259
Jams,736,262
Josh,736,252
Tomato,722,290
Cal,717,181
?,702,192
Derpinator,691,163
Busso,687,240
Runawayfire,672,333
Spice,665,259
Auntjemina,660,252
Tv,658,257
Tubbs,658,247
Spencomatic,657,234
Moobesor,643,280
Father3,635,230
Jts,635,248
Skittles,632,246
Rocky,614,167
Xavier,613,252
Swell,595,311
Yale,593,121
Edmonster,592,273
Jam,590,293
Infest,552,246
Tmah,529,337
Spicymeme,511,370
Earl,508,218
Yzus,429,412
Ozio,411,297
Daemomlock,410,378
Dante,398,300
Kalco,338,374
Ratemyname,-93,431
